store,brand,week,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,deal,feat,sales
1,1,1,3.04,1.04,4.52,1.34,3.35,1.99,1.62,2.6,1.2,1.96,2.67,0,0,109.2
1,1,2,3.83,3.1,3.26,2.78,2.26,3.28,2.12,2.15,3.3,2.97,4.17,1,1,139.4
1,1,3,2.22,4.3,2.92,1.14,3.34,4.77,4.17,2.6,3.93,2.75,2.95,0,0,121.1
1,1,4,1.89,2.18,3.45,4.63,3.55,3.54,3.12,4.55,2.32,3.26,1.57,0,0,164.6
1,1,5,2.41,3.0,2.52,2.43,3.43,3.7,4.13,3.03,1.34,1.18,2.69,1,0,187.0
1,1,6,4.67,2.36,2.35,3.84,3.85,2.67,2.64,2.52,4.92,2.55,1.67,0,0,175.7
1,1,7,4.63,2.78,2.88,3.14,4.35,4.76,3.7,2.3,2.01,3.03,3.52,1,0,109.5
1,1,8,1.2,2.46,1.53,4.6,2.55,2.74,2.85,2.22,1.58,3.93,3.91,0,1,123.3
1,1,9,2.81,4.62,1.93,4.73,2.03,3.1,3.8,3.53,1.63,1.48,3.27,0,1,126.9
1,1,10,1.46,2.6,3.89,4.16,2.44,3.24,3.96,3.39,3.29,3.93,1.33,1,0,151.2
1,1,11,2.56,3.32,1.48,2.89,1.36,2.66,1.83,3.47,2.02,4.47,2.57,1,0,104.9
1,1,12,3.43,2.6,4.61,2.76,2.86,1.19,1.07,4.15,3.07,3.45,4.05,0,1,114.6
1,1,13,3.7,3.82,1.63,2.69,3.21,4.28,1.75,2.72,2.36,1.51,1.31,1,1,115.9
1,1,14,3.82,1.51,1.86,3.78,2.74,4.94,2.98,3.56,2.61,4.4,2.14,0,1,159.3
1,1,15,1.75,1.59,4.36,3.4,2.5,3.34,3.52,3.99,3.25,2.96,3.19,1,0,191.5
1,1,16,3.33,4.6,4.45,3.38,1.11,2.55,1.24,4.01,1.92,2.07,3.17,0,0,123.0
1,1,17,1.89,2.49,2.32,2.83,4.89,3.54,2.17,2.34,2.38,1.29,3.88,1,1,183.2
1,1,18,3.19,1.29,3.46,3.9,4.49,4.25,4.93,1.57,3.42,2.08,2.87,0,0,145.9
1,1,19,3.25,3.23,4.17,3.37,3.85,1.82,1.7,2.76,2.43,2.77,2.89,0,1,193.6
1,1,20,4.19,1.56,3.26,4.25,3.63,2.07,2.32,3.68,4.31,4.34,3.34,0,1,185.5
1,1,21,2.17,4.23,2.68,3.02,2.82,3.45,3.57,3.24,1.44,4.87,3.09,1,0,178.7
1,1,22,3.82,4.47,4.72,4.69,1.84,2.35,2.19,3.44,1.28,1.49,4.02,1,0,186.9
1,1,23,4.91,4.06,4.03,2.31,2.74,4.73,2.37,3.33,3.13,2.02,1.05,1,0,146.2
1,1,24,2.25,1.78,3.9,1.56,1.08,3.09,4.44,2.35,3.87,3.05,4.1,0,1,115.9
1,1,25,1.49,3.59,3.67,3.86,4.0,1.57,3.11,1.26,3.97,4.41,2.55,0,1,110.2
1,1,26,1.68,3.17,2.14,3.92,2.56,3.07,3.17,1.76,3.0,2.48,4.53,1,1,132.1
1,1,27,3.72,1.45,4.77,1.44,4.01,4.97,4.62,1.7,3.56,1.29,4.11,1,0,137.8
1,1,28,2.88,4.12,3.15,4.22,2.66,3.44,4.16,1.3,4.94,1.76,4.19,1,0,105.7
1,1,29,1.57,2.48,1.61,1.99,3.25,3.99,4.26,3.8,1.1,2.98,1.34,0,0,135.5
1,1,30,1.15,4.3,3.86,2.81,4.42,1.76,1.5,4.01,3.06,2.63,1.14,1,1,173.0
1,1,31,2.31,4.17,1.17,1.32,1.72,4.35,3.51,1.91,3.73,2.42,2.19,1,1,169.2
1,1,32,4.69,3.34,2.75,1.51,3.66,3.35,1.63,2.56,1.47,3.94,3.87,0,0,176.0
1,1,33,1.47,1.52,1.64,4.81,4.5,4.82,4.39,4.23,2.38,2.85,2.17,1,0,134.0
1,1,34,3.58,3.37,2.91,4.27,4.19,3.01,3.5,2.83,1.3,3.19,3.9,0,0,104.5
1,1,35,2.12,1.05,2.9,3.09,4.95,3.73,4.23,3.52,3.78,4.03,4.19,0,1,195.5
1,1,36,2.7,4.94,2.14,1.92,1.33,2.05,2.19,2.61,1.61,3.0,1.32,0,1,132.2
1,1,37,4.23,3.15,1.93,3.81,1.74,4.81,1.46,4.82,4.56,2.26,4.58,0,0,173.9
1,1,38,1.83,1.39,2.49,2.14,3.85,4.83,3.14,4.42,1.77,3.24,2.1,1,1,157.2
1,1,39,3.79,3.76,4.24,3.45,2.72,2.95,3.22,1.44,1.17,1.3,4.58,1,1,125.3
1,1,40,3.67,3.57,4.56,2.6,3.13,3.32,2.09,2.94,3.95,1.73,2.16,1,1,153.2
1,1,41,2.05,1.06,3.68,3.25,4.11,2.33,2.76,4.63,4.65,1.87,4.35,1,0,145.5
1,1,42,1.35,3.03,4.64,4.76,1.25,1.75,2.79,3.86,4.8,4.6,1.62,0,1,114.6
1,1,43,4.12,3.92,4.34,1.76,3.17,2.25,3.55,1.4,3.9,4.48,3.51,1,0,145.3
1,1,44,3.3,3.25,4.75,2.06,4.01,1.95,1.67,4.15,1.82,2.97,1.1,0,0,176.4
1,1,45,1.56,4.53,4.34,1.31,3.92,1.48,4.79,1.01,4.54,1.8,3.46,1,0,194.2
1,1,46,2.25,4.0,3.17,3.15,2.21,4.98,3.43,4.39,1.66,3.81,4.41,1,1,115.5
1,1,47,3.9,3.02,4.26,4.9,1.88,1.81,1.98,3.25,2.22,4.91,3.89,0,0,195.0
1,1,48,4.14,2.47,4.44,2.63,1.79,2.83,2.05,3.1,3.38,2.21,4.4,0,1,139.3
1,1,49,1.32,3.51,1.28,1.33,2.04,2.0,2.09,1.54,4.1,2.35,1.59,0,1,158.3
1,1,50,2.75,1.38,4.4,4.55,3.09,2.53,4.62,1.22,4.52,3.11,3.59,1,0,123.5
1,1,51,2.17,1.88,4.41,4.59,2.56,2.77,2.91,3.75,1.34,1.66,4.4,1,0,107.8
1,1,52,3.9,4.51,4.71,1.03,4.97,3.8,1.47,4.32,4.94,2.04,1.64,0,0,170.0
1,1,53,2.78,3.14,4.94,2.03,3.84,4.12,1.25,1.46,1.9,3.7,1.06,1,0,112.7
1,1,54,1.99,1.65,1.66,1.15,1.37,2.35,4.99,3.03,3.21,3.81,4.91,0,0,154.3
1,1,55,3.05,4.87,4.18,4.16,4.98,1.14,2.56,3.64,1.52,1.27,1.77,1,1,178.9
1,1,56,3.01,2.74,4.96,2.87,2.0,3.12,3.3,2.73,2.65,2.08,4.37,0,0,193.8
1,1,57,4.39,1.5,4.41,4.67,4.3,4.21,1.09,3.85,1.0,1.25,1.57,1,1,166.5
1,1,58,1.02,1.64,3.46,1.2,3.72,4.53,2.48,3.93,3.46,2.81,1.57,1,1,129.2
1,1,59,1.42,3.38,2.18,3.36,4.29,2.13,3.02,1.58,4.17,2.4,3.62,0,1,146.2
1,1,60,1.91,1.99,2.76,1.03,4.09,1.97,4.55,4.32,3.26,3.27,4.51,0,1,157.3
1,1,61,4.87,2.09,2.33,4.12,3.92,4.06,4.92,3.09,1.27,1.13,4.39,0,1,158.5
1,1,62,1.07,4.46,3.22,2.08,1.36,4.09,2.84,2.82,1.23,2.85,4.65,1,0,157.0
1,1,63,1.45,1.49,3.06,4.92,2.81,4.01,4.96,3.06,1.43,2.93,3.06,0,1,148.6
1,1,64,2.29,1.02,3.83,2.07,3.39,1.27,3.42,2.71,1.29,1.59,4.41,1,1,181.4
1,1,65,1.31,1.83,1.77,2.28,3.08,4.03,5.0,4.78,3.15,4.94,1.6,1,1,166.1
1,1,66,3.71,2.62,4.19,2.3,1.18,4.62,2.82,1.93,1.52,1.53,4.1,1,1,195.9
1,1,67,2.8,2.92,1.49,3.61,2.55,3.41,3.4,4.44,4.92,2.15,1.25,0,0,128.1
1,1,68,1.41,4.34,1.42,1.41,3.03,1.11,1.69,2.74,1.8,4.45,1.48,1,0,107.0
1,1,69,2.85,2.27,3.18,2.77,3.85,3.44,1.58,3.57,2.44,1.74,1.77,0,0,100.8
1,1,70,3.86,4.17,3.74,4.47,1.82,4.28,2.28,4.53,2.45,3.79,1.67,0,0,117.5
1,1,71,4.46,4.38,2.47,4.74,2.0,3.46,3.0,2.1,2.67,1.17,4.58,1,0,167.5
1,1,72,4.36,2.81,4.67,4.62,2.98,1.53,3.77,2.19,2.32,1.41,3.57,1,0,102.0
1,1,73,2.2,4.29,1.5,4.98,2.54,3.31,3.28,4.77,2.27,1.95,4.44,0,1,100.4
1,1,74,4.53,1.68,2.79,4.59,2.03,2.58,2.3,1.23,3.03,1.75,4.31,1,1,147.6
1,1,75,1.65,4.03,4.22,3.34,2.75,4.96,1.05,3.44,4.54,3.59,1.1,0,1,145.6
1,1,76,2.55,4.98,1.53,2.99,1.32,2.19,3.47,2.13,4.03,4.14,3.01,0,1,120.5
1,1,77,1.63,3.35,4.32,4.54,1.81,2.94,1.0,1.07,3.18,1.97,3.03,0,0,151.3
1,1,78,2.54,3.47,2.69,4.34,4.85,4.44,2.36,2.17,3.62,4.09,1.33,1,1,156.0
1,1,79,2.97,3.2,2.27,1.64,4.07,1.38,1.57,4.77,4.93,2.69,4.93,1,0,133.7
1,1,80,4.99,1.15,4.87,2.29,4.67,1.85,4.42,2.3,1.91,3.89,1.71,0,1,198.5
1,1,81,2.89,4.26,4.24,2.57,1.22,4.09,1.07,3.89,2.35,3.35,2.75,1,1,151.5
1,1,82,3.17,3.06,1.12,4.45,2.1,4.51,4.05,2.94,1.24,3.73,4.25,0,1,197.4
1,1,83,1.51,3.91,4.98,2.12,3.17,1.78,3.81,3.6,1.58,2.95,1.87,1,1,161.3
1,1,84,4.28,3.62,4.38,1.64,4.9,1.34,4.32,3.27,1.41,2.02,1.66,0,1,121.6
1,1,85,3.21,4.85,1.4,4.91,3.51,2.48,2.98,2.29,3.3,3.35,4.09,0,0,176.1
1,1,86,2.22,2.05,2.88,2.63,4.32,4.06,2.49,2.94,4.04,2.15,2.66,0,0,102.9
1,1,87,3.41,2.78,4.72,3.74,2.62,4.37,2.38,4.59,3.36,2.13,4.52,0,1,133.5
1,1,88,4.95,1.28,2.37,3.74,3.27,2.32,2.25,4.64,4.75,4.3,4.82,0,0,119.1
1,1,89,2.48,3.72,2.72,2.22,3.46,1.15,2.75,2.72,3.28,1.15,1.24,0,1,110.8
1,1,90,3.39,1.84,1.05,2.24,3.05,2.07,1.53,2.03,2.03,4.35,1.71,0,0,186.9
1,1,91,1.48,2.73,4.4,4.27,4.76,4.05,2.68,1.45,4.76,3.12,2.78,0,1,126.7
1,1,92,4.61,4.03,2.61,2.26,2.73,4.34,4.88,3.84,4.83,2.84,3.12,0,1,191.2
1,1,93,1.68,3.68,2.74,4.25,4.2,2.13,3.12,3.97,2.19,3.93,3.03,0,1,173.9
1,1,94,4.45,3.83,2.56,3.84,1.95,4.01,1.15,4.08,2.13,3.44,1.84,0,1,154.7
1,1,95,1.53,1.72,3.23,2.63,3.03,4.47,2.0,3.06,1.21,1.16,1.12,1,1,106.8
1,1,96,4.4,3.16,3.38,3.35,3.48,2.92,3.32,4.61,4.9,4.07,1.27,1,0,166.8
1,1,97,4.62,4.57,1.6,1.99,2.12,4.25,4.71,2.83,3.82,2.44,1.98,0,1,110.0
1,1,98,3.26,1.11,2.44,1.65,4.63,3.32,3.61,3.75,1.3,4.45,4.2,0,0,140.0
1,1,99,1.68,4.33,2.36,2.81,2.42,4.62,4.15,4.82,4.79,4.7,1.46,0,0,169.7
1,1,100,4.18,1.45,4.45,2.32,3.17,3.21,4.2,4.0,1.12,1.34,3.99,1,0,153.9
1,1,101,4.9,4.97,4.75,1.66,1.77,2.49,4.52,2.66,3.45,3.24,2.39,1,0,125.1
1,1,102,2.36,1.65,2.78,2.44,2.83,3.3,1.89,2.93,1.3,1.92,2.2,0,0,137.5
1,1,103,4.29,4.89,2.38,4.17,2.14,2.24,2.36,2.01,4.97,2.73,1.78,1,0,107.8
1,1,104,1.18,3.38,2.09,1.22,2.51,2.26,3.09,1.62,4.78,4.58,1.33,1,1,113.9
1,1,105,1.12,3.94,3.61,4.14,2.89,3.13,4.56,2.35,3.13,2.28,1.59,1,0,198.1
1,1,106,3.23,3.92,1.74,1.62,2.27,4.79,3.09,2.85,1.09,2.59,1.27,0,0,178.1
1,1,107,4.09,4.92,1.44,3.09,1.87,3.83,2.5,2.57,4.88,4.1,4.91,0,0,167.8
1,1,108,2.83,1.29,4.59,1.43,2.39,3.76,2.63,1.48,1.77,4.14,2.01,1,1,120.6
1,1,109,1.96,2.05,4.72,2.16,2.26,2.09,5.0,4.78,3.6,1.03,1.21,1,0,108.8
1,1,110,1.52,4.66,4.17,3.75,3.66,2.36,4.09,3.99,1.48,2.78,1.61,1,1,107.2
1,1,111,2.22,2.65,1.77,1.71,4.16,1.87,4.92,4.73,1.61,3.72,4.81,1,0,188.8
1,1,112,4.15,1.19,3.94,3.1,2.63,4.21,3.98,1.94,2.57,2.74,4.76,1,0,132.0
1,1,113,3.1,3.03,3.93,3.26,3.02,1.94,3.91,2.72,2.91,3.43,4.36,1,0,198.0
1,1,114,2.58,3.47,4.43,2.58,1.43,2.43,3.84,1.92,1.27,1.95,4.7,0,0,150.3
1,1,115,3.92,1.64,4.97,2.4,2.3,4.04,4.92,4.77,2.04,3.55,1.76,0,0,154.9
1,1,116,1.61,1.15,3.81,3.62,3.45,4.94,3.92,2.97,1.47,4.57,3.47,1,1,183.7
1,1,117,4.93,2.03,2.74,3.22,3.06,4.99,3.84,2.98,4.62,1.16,2.77,1,1,181.4
1,1,118,1.27,1.83,1.64,4.84,3.58,3.91,1.94,4.59,2.62,4.16,2.37,1,1,133.8
1,1,119,3.34,3.56,1.13,1.77,2.32,2.85,4.75,4.82,4.31,1.84,4.84,1,1,148.0
1,1,120,4.61,1.03,3.58,4.99,2.79,1.14,1.69,4.46,4.32,2.36,4.54,1,0,123.4
1,1,121,1.76,4.01,3.76,2.48,1.87,3.83,3.03,3.87,4.09,4.59,1.69,1,0,168.6
1,1,122,4.13,3.62,2.85,2.06,1.26,2.32,2.4,4.66,3.44,2.26,3.77,0,1,122.4
1,1,123,2.3,2.4,3.57,1.56,2.97,2.54,4.65,4.32,3.8,1.22,3.3,0,1,177.8
1,1,124,1.49,1.52,4.05,4.75,3.58,2.62,1.46,1.25,3.06,1.85,1.99,0,1,168.9
1,1,125,2.26,4.55,4.52,4.94,3.66,2.42,1.31,4.1,2.78,4.49,4.65,1,1,113.6
1,1,126,4.38,2.85,3.88,4.46,1.67,1.64,2.15,1.49,4.01,3.0,4.14,1,1,147.2
1,1,127,3.84,1.93,1.47,2.34,2.28,1.31,4.88,2.95,1.13,2.68,4.02,0,1,170.3
1,1,128,3.46,3.23,4.29,1.38,4.44,3.21,2.06,3.62,2.44,1.06,1.7,0,1,113.6
1,1,129,2.46,2.44,3.17,4.89,2.66,1.01,1.8,1.99,4.21,2.99,1.64,0,0,114.9
1,1,130,3.66,3.32,4.49,1.26,2.36,2.02,2.51,2.76,4.62,3.9,4.06,0,0,162.9
1,1,131,3.27,1.78,2.81,4.29,1.35,1.73,4.13,2.71,2.9,4.44,1.85,1,1,189.6
1,1,132,2.81,3.93,4.31,3.66,1.12,4.98,1.52,3.85,1.84,2.83,2.05,0,0,135.9
1,1,133,1.43,4.7,4.11,1.12,3.63,3.81,1.68,1.41,2.73,3.23,2.34,1,0,135.7
1,1,134,3.92,1.15,1.1,2.0,3.66,1.16,2.55,2.2,5.0,2.96,1.78,1,0,160.3
1,1,135,2.32,3.62,2.45,1.59,3.78,3.94,4.24,1.67,3.83,3.69,1.49,1,1,185.9
1,1,136,2.05,3.81,2.4,4.3,1.04,2.58,2.78,2.75,1.96,1.87,2.37,0,1,184.6
1,1,137,4.39,1.19,3.41,1.1,4.81,2.47,4.83,2.89,3.03,1.06,1.47,1,0,103.7
1,1,138,3.32,2.34,3.9,1.68,1.82,4.2,2.37,2.65,3.63,3.01,3.79,0,1,122.2
1,1,139,1.67,2.63,1.76,2.48,2.61,1.41,4.91,3.98,2.38,3.58,4.08,1,1,188.3
1,1,140,1.12,1.5,2.25,3.75,2.68,3.18,1.88,3.9,3.84,2.32,2.17,1,1,192.6
1,1,141,2.38,2.42,4.01,1.44,2.35,1.86,4.58,1.73,2.7,2.42,3.78,1,1,141.7
1,1,142,2.09,2.75,1.25,4.71,2.72,3.54,2.29,1.19,4.78,4.48,2.27,0,1,101.1
1,1,143,3.11,2.01,4.83,4.29,3.84,4.76,2.7,1.73,4.54,2.46,1.34,0,1,112.9
1,1,144,4.71,1.79,2.18,4.34,4.11,1.81,1.37,3.79,3.8,2.07,2.78,0,1,131.5
1,1,145,1.65,2.71,4.27,3.07,3.76,4.82,1.44,3.13,4.11,1.69,1.68,0,0,141.9
1,1,146,2.52,1.28,1.42,4.31,2.53,4.9,4.35,1.44,2.31,4.5,4.99,1,0,145.4
1,1,147,3.44,3.77,1.71,1.54,2.07,4.8,2.36,1.05,4.05,4.63,1.13,1,0,124.5
1,1,148,1.96,2.2,1.54,1.04,4.13,2.64,3.86,3.4,1.13,2.36,4.49,1,1,118.2
1,1,149,2.85,4.8,2.46,3.8,3.89,1.51,3.71,2.91,3.97,3.92,1.01,1,0,167.5
1,1,150,4.57,3.15,1.56,2.02,2.37,3.0,3.15,4.71,3.05,2.4,3.72,0,1,143.0
1,1,151,1.03,3.48,2.76,2.77,1.83,3.38,4.21,4.76,3.06,2.37,1.37,0,0,189.4
1,1,152,4.47,1.87,2.45,2.13,1.77,2.96,2.38,2.6,4.08,3.32,1.58,1,1,157.7
1,1,153,3.28,4.74,2.79,4.9,3.07,2.86,2.75,4.38,3.96,4.41,3.01,0,1,181.6
